state,latitude,longitude
Alabama,32.7395785,-86.8434469
Alaska,63.347356,-152.8397334
Arizona,34.2039362,-111.6063449
Arkansas,34.8955256,-92.4446262
California,37.1551773,-119.5434183
Colorado,38.9937669,-105.5087122
Connecticut,41.5798637,-72.7466572
Delaware,38.9985661,-75.441644
District of Columbia,38.9042474,-77.0165167
Florida,28.3989775,-82.5143005
Georgia,32.6295789,-83.4235109
Hawaii,19.8281671,-155.4950421
Idaho,44.3484222,-114.5588538
Illinois,40.1028754,-89.1526108
Indiana,39.9013136,-86.2919129
Iowa,42.0700243,-93.4933473
Kansas,38.4985464,-98.3834298
Kentucky,37.5336844,-85.2929801
Louisiana,30.8634368,-91.7987173
Maine,45.4092843,-68.666616
Maryland,38.9466584,-76.6744939
Massachusetts,42.1565196,-71.4895915
Michigan,44.8441768,-85.6604907
Minnesota,46.3159573,-94.1996043
Mississippi,32.6864714,-89.6561377
Missouri,38.35075,-92.4567826
Montana,47.051177,-109.6348174
Nebraska,41.5433053,-99.8118646
Nevada,39.3310928,-116.6151469
New Hampshire,43.6727945,-71.5841886
New Jersey,40.1072744,-74.6652012
New Mexico,34.4346843,-106.1316181
New York,42.9133974,-75.5962723
North Carolina,35.53971,-79.1308636
North Dakota,47.442174,-100.4608258
Ohio,40.4149297,-82.7119975
Oklahoma,35.5900815,-97.4867789
Oregon,43.9717125,-120.6229578
Pennsylvania,40.9046042,-77.8275233
Rhode Island,41.596485,-71.5264901
South Carolina,33.8741776,-80.8542639
South Dakota,44.4467957,-100.2381762
Tennessee,35.85846,-86.3496339
Texas,31.4347032,-99.2818238
Utah,39.3349925,-111.6563326
Vermont,44.0589536,-72.6710173
Virginia,37.5222512,-78.6681938
Washington,47.4073238,-120.5757999
West Virginia,38.6472854,-80.6183274
Wisconsin,44.6309071,-89.7093916
Wyoming,42.9896591,-107.5443922
American Samoa,-14.267159,-170.6682674
Guam,13.4382885,144.7729494
Commonwealth of the Northern Mariana Islands,15.0010865,145.6181702
Puerto Rico,18.217648,-66.4107992
United States Virgin Islands,18.3392359,-64.9500433
